año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2005,1,0.006211180124223602,2024
2006,2,0.012422360248447204,2024
2007,3,0.018633540372670808,2024
2010,1,0.006211180124223602,2024
2011,4,0.024844720496894408,2024
2012,2,0.012422360248447204,2024
2013,3,0.018633540372670808,2024
2014,6,0.037267080745341616,2024
2015,15,0.09316770186335403,2024
2016,12,0.07453416149068323,2024
2017,36,0.2236024844720497,2024
2018,31,0.19254658385093168,2024
2019,41,0.2546583850931677,2024
2020,3,0.018633540372670808,2024
2021,1,0.006211180124223602,2024
