año_inscripcion_facultad,cantidad_egresados,proporcion,anio_egreso
2007,1,0.007874015748031496,2025
2008,1,0.007874015748031496,2025
2010,2,0.015748031496062992,2025
2011,3,0.023622047244094488,2025
2012,4,0.031496062992125984,2025
2013,5,0.03937007874015748,2025
2014,3,0.023622047244094488,2025
2015,6,0.047244094488188976,2025
2016,5,0.03937007874015748,2025
2017,9,0.07086614173228346,2025
2018,12,0.09448818897637795,2025
2019,23,0.18110236220472442,2025
2020,19,0.14960629921259844,2025
2021,27,0.2125984251968504,2025
2022,7,0.05511811023622047,2025
